City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Bethel,US,75.72,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
3,Jamestown,US,75.18,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
6,Foggia,IT,68.77,broken clouds,41.45,15.5333,B&B White
14,Mahebourg,MU,70.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
15,Kondoa,TZ,67.95,broken clouds,-4.9,35.7833,Kinyuma Lodge
16,Rikitea,PF,73.63,clear sky,-23.1203,-134.9692,People ThankYou
18,Puerto Ayora,EC,73.54,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
19,Medicine Hat,CA,67.21,clear sky,50.0501,-110.6683,Sun Dek Motel
23,Faanui,PF,78.12,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
25,Atuona,PF,77.65,scattered clouds,-9.8,-139.0333,Villa Enata
31,Chachoengsao,TH,74.3,overcast clouds,13.6167,101.4167,บ้านเจ๊น้อยห้วยหิน
32,Mana,GF,84.36,scattered clouds,5.6592,-53.7767,LE SAMANA
35,Zambezi,ZM,77.18,clear sky,-13.5432,23.1047,Royal Kutachika Lodge
36,San Carlos,VE,80.46,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
37,Harper,LR,78.44,light rain,4.375,-7.7169,Screensaver
40,Hilo,US,78.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
41,Alyangula,AU,78.75,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
42,Kapaa,US,79.12,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
43,Ellisras,ZA,67.69,clear sky,-23.6649,27.7443,Lapa le le guesthouse
44,Saint-Philippe,RE,66.22,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
48,Georgetown,MY,80.89,overcast clouds,5.4112,100.3354,Cititel Penang
49,Westport,US,77.79,broken clouds,41.1415,-73.3579,The Westport Inn
50,Shache,CN,73.6,clear sky,38.4167,77.2406,Delong Hotel
54,Bambanglipuro,ID,75.47,overcast clouds,-7.95,110.2833,Puri Brata
55,Ihosy,MG,66.02,broken clouds,-22.4,46.1167,Tamana Hôtel
65,Butaritari,KI,82.96,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
69,Oxapampa,PE,72.39,scattered clouds,-10.5775,-75.4017,Hotel Heidinger
72,Ponta Do Sol,PT,75.7,broken clouds,32.6667,-17.1,Hotel do Campo
73,Bengkulu,ID,74.71,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
76,Betioky,MG,68.7,clear sky,-23.7167,44.3833,Bungalows Acacias Hotel
77,Katsuura,JP,73.71,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
78,Hambantota,LK,79.92,few clouds,6.1241,81.1185,Bungalow 63
79,Alamosa,US,67.66,clear sky,37.4695,-105.87,Best Western Alamosa Inn
80,Asfi,MA,70.84,clear sky,32.2994,-9.2372,Hôtel Abda
86,Lagoa,PT,70.48,clear sky,39.05,-27.9833,Casa Das Faias
88,Sigli,ID,78.33,overcast clouds,5.3848,95.9609,Losmen Dua Mali
89,Syracuse,IT,79.61,broken clouds,37.0881,15.2792,Hotel Posta
91,Ribeira Grande,PT,71.71,clear sky,38.5167,-28.7,Quinta da Meia Eira
93,Najran,SA,81.73,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
94,Lubumbashi,CD,72.86,clear sky,-11.6609,27.4794,Glo Flats
97,Antalaha,MG,70.74,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
99,Le Port,RE,66.61,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
100,Vega De Alatorre,MX,84.4,broken clouds,20.0333,-96.6333,El Polo Norte
101,Katherine,AU,72.3,broken clouds,-14.4667,132.2667,Pine Tree Motel
102,Komsomolskiy,UZ,68.0,clear sky,40.4272,71.7189,Ikathouse
107,Souillac,MU,70.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
108,Bombo,ID,75.51,overcast clouds,-8.6131,119.0131,Losmen Mustika
113,Maragogi,BR,79.61,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
118,Olinda,BR,80.35,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
119,Mogadishu,SO,77.25,scattered clouds,2.0371,45.3438,Hotel Juba
123,Vaini,TO,72.93,few clouds,-21.2,-175.2,Keleti Beach Resort
124,Karratha,AU,82.18,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
128,Avarua,CK,75.81,light rain,-21.2078,-159.775,Paradise Inn
131,Luwuk,ID,72.91,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
132,Chitral,PK,71.96,clear sky,35.8462,71.7858,PTDC Motel Chitral
133,General Roca,AR,68.5,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
134,Bima,ID,75.18,overcast clouds,-8.4667,118.7167,Lambitu Hotel
136,Bud,US,78.06,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
138,Sao Filipe,CV,81.79,scattered clouds,14.8961,-24.4956,Hotel Xaguate
141,Peruibe,BR,70.97,broken clouds,-24.32,-46.9983,Hotel Pousada Xapuri
142,Nishihara,JP,78.98,clear sky,26.1842,127.7558,Minshuku Agaihama
147,Arraial Do Cabo,BR,73.99,few clouds,-22.9661,-42.0278,Pousada Porto Praia
150,Tha Rua,TH,77.99,heavy intensity rain,14.5634,100.7226,ริมบึงสวนพริกรีสอร์ท อยุธยา
153,Alofi,NU,76.42,few clouds,-19.0595,-169.9187,Taloa Heights
156,Hobyo,SO,77.76,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
157,Quatre Cocos,MU,70.09,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
159,Ponta Delgada,PT,72.05,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
160,Lingao,CN,78.76,light rain,19.9103,109.6859,Lingao Ditai Inn
161,Salalah,OM,79.56,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
164,Mengcheng,CN,71.01,light rain,33.2579,116.5655,Jinliang Hotel
165,Tondano,ID,67.5,overcast clouds,1.3038,124.9112,Villa Bella
166,San Andres,CO,82.6,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
167,Niteroi,BR,78.8,clear sky,-22.8833,-43.1036,Guesthouse
169,Tutoia,BR,84.06,scattered clouds,-2.7619,-42.2744,Pousada Guará's
178,Camacha,PT,68.7,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
179,Binabalian,PH,82.69,overcast clouds,16.4202,119.9279,Sundowners Vacation Villas
181,Cabedelo,BR,80.92,few clouds,-6.9811,-34.8339,Hotel Pigalle
184,Senanga,ZM,83.07,scattered clouds,-16.1167,23.2667,Zango lodge
193,Korla,CN,73.65,few clouds,41.7597,86.1469,Gulisitan Hotel
196,Gambela,ET,70.45,light rain,8.25,34.5833,Solomon Debebe Hotel
198,Ternate,ID,80.02,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
201,Chapais,CA,73.89,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
205,Saint-Joseph,RE,65.21,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
206,Excelsior Springs,US,71.98,broken clouds,39.3392,-94.2261,The Elms Hotel & Spa
208,Rawson,AR,71.51,clear sky,-43.3002,-65.1023,Hosteria Sampedro
209,Oda,JP,71.56,scattered clouds,35.1833,132.5,Sky Hotel Oda
210,Kuryk,KZ,75.52,few clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
214,Nhulunbuy,AU,80.44,few clouds,-12.2333,136.7667,East Arnhem Real Estate
216,Talara,PE,67.82,scattered clouds,-4.5772,-81.2719,Hostal Oro Negro
221,Port Blair,IN,78.96,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
223,Srandakan,ID,75.63,overcast clouds,-7.9386,110.2506,Puri Brata
226,Vila Franca Do Campo,PT,71.78,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
227,Mae Hong Son,TH,72.3,scattered clouds,19.3003,97.9685,Baiyoke Chalet Hotel
228,Fukue,JP,75.7,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
233,Carnarvon,AU,70.74,clear sky,-24.8667,113.6333,Hospitality Carnarvon
234,Saint-Michel-Des-Saints,CA,71.44,overcast clouds,46.6834,-73.9159,Motel Du Mont trinity
236,Shelburne,CA,73.27,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
237,Hasaki,JP,73.04,scattered clouds,35.7333,140.8333,Hotel Sunrise Choshi
238,San Luis,AR,66.58,scattered clouds,-33.295,-66.3356,Huarpes Hotel
240,Praia Da Vitoria,PT,75.76,few clouds,38.7333,-27.0667,Hotel Branco I
241,Dawlatabad,AF,71.28,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
244,Cuamba,MZ,79.95,clear sky,-14.8031,36.5372,Hotel Vision
251,Sumbe,AO,71.8,scattered clouds,-11.2061,13.8437,Hotel Ritz Sumbe
254,Ravar,IR,80.91,few clouds,31.2656,56.8055,کافی نت و کامپیوترپرشین سیستم
257,Luanda,AO,72.18,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
261,Kananga,CD,82.0,broken clouds,-5.8958,22.4178,Guest House Wood Land
262,Shakawe,BW,80.73,few clouds,-18.3667,21.85,Ditlhapi Guest House
263,Talavera De La Reina,ES,70.61,clear sky,39.9635,-4.8308,Be Live City Center Talavera
266,Port Said,EG,81.95,clear sky,31.2565,32.2841,Aracan Hotel
267,La Sarre,CA,66.83,overcast clouds,48.8002,-79.1996,Motel Villa Mon Repos
268,Hithadhoo,MV,83.62,overcast clouds,-0.6,73.0833,Scoop Guest House
270,Kamina,CD,76.5,clear sky,-8.7386,24.9906,Guest House Florvia
272,Saint George,US,81.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
274,Silver City,US,81.3,clear sky,32.7701,-108.2803,Copper Manor Motel
278,Nouadhibou,MR,72.23,clear sky,20.931,-17.0347,El Medina
280,Caravelas,BR,81.54,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
287,Marawi,PH,65.64,overcast clouds,7.9986,124.2928,Derogongan Residence
288,Xai-Xai,MZ,68.61,light rain,-25.0519,33.6442,Complexo da Familia
289,Nantucket,US,76.96,broken clouds,41.2835,-70.0995,Jared Coffin House
291,Fort-Shevchenko,KZ,71.69,broken clouds,44.5086,50.263,Oasis hotel Bautino
296,Corinth,GR,80.42,clear sky,37.9407,22.9573,Ephira Hotel
297,Mahibadhoo,MV,83.71,few clouds,3.7833,72.9667,Omadhoo Inn
298,Razole,IN,78.31,overcast clouds,16.4833,81.8333,Sterling Palavelli Godavari
299,Kralendijk,BQ,83.75,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
301,Muros,ES,72.23,clear sky,42.7762,-9.0603,Apartment Av. Castelao
302,Hirara,JP,83.91,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
303,Guadalupe Y Calvo,MX,72.81,overcast clouds,26.1,-106.9667,Hotel Pizarro
304,Loudi,CN,73.15,clear sky,27.7344,111.9944,Till Bright Hotel
306,Meulaboh,ID,76.05,overcast clouds,4.1363,96.1285,Kost Pria
308,Carballo,ES,69.06,clear sky,43.213,-8.691,Pazo do Souto
310,Bambous Virieux,MU,70.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
311,Madang,PG,75.87,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
314,Mawlaik,MM,74.32,overcast clouds,23.6333,94.4167,AKZ Guest House
315,Geraldton,AU,65.3,clear sky,-28.7667,114.6,Broadwater Mariner Resort
