City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kropotkin,RU,45.4375,40.5756,59.14,89,97,6.55,overcast clouds
1,Bethel,US,41.3712,-73.414,75.72,73,48,7.94,scattered clouds
2,Punta Arenas,CL,-53.15,-70.9167,50.95,75,100,15.88,overcast clouds
3,Jamestown,US,42.097,-79.2353,75.18,61,100,5.99,overcast clouds
4,Calabozo,VE,8.9242,-67.4293,85.82,67,99,5.35,overcast clouds
5,Asau,RO,46.4333,26.4,49.95,71,61,1.34,broken clouds
6,Foggia,IT,41.45,15.5333,68.77,60,54,11.14,broken clouds
7,Sitrah,BH,26.1547,50.6206,89.37,54,0,5.01,clear sky
8,New Norfolk,AU,-42.7826,147.0587,50.72,73,98,1.99,overcast clouds
9,Albany,US,42.6001,-73.9662,74.8,61,99,1.01,overcast clouds
10,Hobart,AU,-42.8794,147.3294,51.06,85,83,3.0,broken clouds
11,Srednekolymsk,RU,67.45,153.6833,28.35,59,69,3.36,broken clouds
12,Thompson,CA,55.7435,-97.8558,43.54,69,100,1.86,overcast clouds
13,Ahipara,NZ,-35.1667,173.1667,58.42,88,100,13.02,overcast clouds
14,Mahebourg,MU,-20.4081,57.7,70.25,66,29,12.82,scattered clouds
15,Kondoa,TZ,-4.9,35.7833,67.95,59,75,9.1,broken clouds
16,Rikitea,PF,-23.1203,-134.9692,73.63,72,2,14.23,clear sky
17,Nanortalik,GL,60.1432,-45.2371,37.42,74,86,17.0,overcast clouds
18,Puerto Ayora,EC,-0.7393,-90.3518,73.54,83,82,8.01,broken clouds
19,Medicine Hat,CA,50.0501,-110.6683,67.21,34,6,4.0,clear sky
20,Provideniya,RU,64.3833,-173.3,32.02,85,100,11.07,overcast clouds
21,Victoria,HK,22.2855,114.1577,85.32,82,75,5.79,light rain
22,Port Elizabeth,ZA,-33.918,25.5701,54.1,77,99,1.61,overcast clouds
23,Faanui,PF,-16.4833,-151.75,78.12,72,8,7.74,clear sky
24,Coihaique,CL,-45.5752,-72.0662,64.36,42,0,2.17,clear sky
25,Atuona,PF,-9.8,-139.0333,77.65,74,33,23.73,scattered clouds
26,The Valley,AI,18.217,-63.0578,88.83,72,54,14.76,broken clouds
27,Busselton,AU,-33.65,115.3333,49.08,72,0,4.52,clear sky
