City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rawson,AR,2021-09-21 12:28:10,-43.3002,-65.1023,55.35,50,0,7.23
1,Nerchinskiy Zavod,RU,2021-09-21 12:29:13,51.3088,119.61,49.53,78,77,1.99
2,Cape Town,ZA,2021-09-21 12:24:42,-33.9258,18.4232,68.41,40,0,10.36
3,Ushuaia,AR,2021-09-21 12:26:56,-54.8,-68.3,44.26,93,40,3.44
4,Bernal,PE,2021-09-21 12:29:13,-5.45,-80.75,62.51,86,27,8.3
5,Vaini,TO,2021-09-21 12:27:32,-21.2,-175.2,69.96,88,20,9.22
6,Busselton,AU,2021-09-21 12:27:04,-33.65,115.3333,57.04,61,0,2.51
7,Puerto Ayora,EC,2021-09-21 12:27:02,-0.7393,-90.3518,69.55,87,47,5.01
8,Rikitea,PF,2021-09-21 12:26:58,-23.1203,-134.9692,73.47,73,0,13.67
9,Cherskiy,RU,2021-09-21 12:28:45,68.75,161.3,26.08,76,43,5.21
10,Bud,US,2021-09-21 12:29:14,39.447,-86.1758,69.22,97,51,8.41
11,Isangel,VU,2021-09-21 12:28:44,-19.55,169.2667,69.91,78,8,3.44
12,Saint-Philippe,RE,2021-09-21 12:27:14,-21.3585,55.7679,75.22,68,44,11.07
13,Bambous Virieux,MU,2021-09-21 12:26:57,-20.3428,57.7575,74.21,53,40,10.36
14,Punta Arenas,CL,2021-09-21 12:25:05,-53.15,-70.9167,53.71,66,0,21.85
15,Bluff,NZ,2021-09-21 12:27:00,-46.6,168.3333,43.81,80,37,15.03
16,Humaita,BR,2021-09-21 12:28:25,-7.5061,-63.0208,80.4,76,49,1.88
17,Castro,BR,2021-09-21 12:27:05,-24.7911,-50.0119,80.64,44,7,2.39
18,Kaitangata,NZ,2021-09-21 12:27:57,-46.2817,169.8464,41.58,90,16,6.04
19,Provideniya,RU,2021-09-21 12:28:11,64.3833,-173.3,33.6,92,100,12.84
20,Makakilo City,US,2021-09-21 12:29:15,21.3469,-158.0858,77.32,68,1,4.61
21,Santa Cruz,BO,2021-09-21 12:26:43,-17.8,-63.1667,76.46,53,75,20.71
